what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.core",1261609317689
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v200908101420,"org.eclipse.wst.jsdt.core",1261609317700
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1261609317701
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1261609317701
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1261609317703
os,sysinfo,,,"win32",1261609317708
arch,sysinfo,,,"x86",1261609317708
ws,sysinfo,,,"win32",1261609317709
locale,sysinfo,,,"pt_BR",1261609317709
processors,sysinfo,,,"2",1261609317709
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1261609317709
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1261609317709
java.specification.name,sysinfo,,,"Java Platform API Specification",1261609317709
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261609317709
java.specification.version,sysinfo,,,"1.6",1261609317709
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1261609317709
java.version,sysinfo,,,"1.6.0_14",1261609317709
java.vm.info,sysinfo,,,"mixed mode",1261609317709
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1261609317709
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1261609317709
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261609317709
java.vm.specification.version,sysinfo,,,"1.0",1261609317709
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1261609317709
java.vm.version,sysinfo,,,"14.0-b16",1261609317709
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1261609317800
